Tipo,Matéria,Assunto,Questões Encontradas,Percentual (%),Freq. Acumulada,Questões no Caderno
ASSUNTO,Economia e Finanças Públicas,Externalidades,5,0.09%,70.80%,0
ASSUNTO,Economia e Finanças Públicas,Oferta de Moeda e Agregados Monetários,5,0.09%,71.90%,0
ASSUNTO,Economia e Finanças Públicas,Inflação,5,0.09%,73.01%,0
ASSUNTO,Economia e Finanças Públicas,Economia Politica do Comercio Internacional,5,0.09%,74.12%,0
ASSUNTO,Economia e Finanças Públicas,Milagre Econômico,5,0.09%,75.22%,0
ASSUNTO,Economia e Finanças Públicas,"Economia Brasileira na Década de 80 (a ""Década Perdida"")",5,0.09%,76.33%,0
ASSUNTO,Economia e Finanças Públicas,Curva de Possibilidades de Produção,4,0.07%,77.21%,0
ASSUNTO,Economia e Finanças Públicas,Oligopólio,4,0.07%,78.10%,0
ASSUNTO,Economia e Finanças Públicas,Demanda por Moeda,4,0.07%,78.98%,0
ASSUNTO,Economia e Finanças Públicas,Bem Estar e Funções do Governo,4,0.07%,79.87%,0
ASSUNTO,Economia e Finanças Públicas,John M. Keynes,4,0.07%,80.75%,0
ASSUNTO,Economia e Finanças Públicas,Desemprego,4,0.07%,81.64%,0
ASSUNTO,Economia e Finanças Públicas,"Escassez, Escolha e Custo de Oportunidade",3,0.05%,82.30%,0
ASSUNTO,Economia e Finanças Públicas,Elasticidade Preço da Oferta,3,0.05%,82.96%,0
ASSUNTO,Economia e Finanças Públicas,Produção,3,0.05%,83.63%,0
ASSUNTO,Economia e Finanças Públicas,Custos,3,0.05%,84.29%,0
ASSUNTO,Economia e Finanças Públicas,Funções e Atributos da Moeda,3,0.05%,84.96%,0
ASSUNTO,Economia e Finanças Públicas,Multiplicador Monetário,3,0.05%,85.62%,0
ASSUNTO,Economia e Finanças Públicas,Curvas de Phillips,3,0.05%,86.28%,0
ASSUNTO,Economia e Finanças Públicas,Expectativas Racionais,3,0.05%,86.95%,0
ASSUNTO,Economia e Finanças Públicas,Federalismo Fiscal,3,0.05%,87.61%,0
ASSUNTO,Economia e Finanças Públicas,Reformas de Getúlio Vargas,3,0.05%,88.27%,0
ASSUNTO,Economia e Finanças Públicas,Planos Nacionais de Desenvolvimento (PNDs),3,0.05%,88.94%,0
